"date","demand"
2015-04-03,1560389
2015-04-04,1471366
2015-04-05,1386285
2015-04-06,1383953
2015-04-07,1543790
2015-04-08,1560888
2015-04-09,1543145
2015-04-10,1488600
2015-04-11,1278783
2015-04-12,1313442
2015-04-13,1578176
2015-04-14,1510749
2015-04-15,1528970
2015-04-16,1567694
2015-04-17,1527948
2015-04-18,1317245
2015-04-19,1361195
2015-04-20,1542355
2015-04-21,1520210
2015-04-22,1526471
2015-04-23,1535964
2015-04-24,1508334
2015-04-25,1329918
2015-04-26,1334067
2015-04-27,1532574
2015-04-28,1508744
2015-04-29,1538693
2015-04-30,1548778
2015-05-01,1545461
2015-05-02,1386518
2015-05-03,1292508
2015-05-04,1305173
2015-05-05,1475403
2015-05-06,1509647
2015-05-07,1546002
2015-05-08,1565727
2015-05-09,1327592
2015-05-10,1273476
2015-05-11,1409685
2015-05-12,1420681
2015-05-13,1485679
2015-05-14,1574462
2015-05-15,1481699
2015-05-16,1225444
2015-05-17,1233210
2015-05-18,1489586
2015-05-19,1497220
2015-05-20,1505969
2015-05-21,1465567
2015-05-22,1465746
2015-05-23,1286849
2015-05-24,1217795
2015-05-25,1281656
2015-05-26,1411398
2015-05-27,1424531
2015-05-28,1374413
2015-05-29,1438058
2015-05-30,1256600
2015-05-31,1227477
2015-06-01,1423367
2015-06-02,1434256
2015-06-03,1444402
2015-06-04,1444100
2015-06-05,1416760
2015-06-06,1152582
2015-06-07,1150024
2015-06-08,1420507
2015-06-09,1452757
2015-06-10,1437814
2015-06-11,1419295
2015-06-12,1455282
2015-06-13,1329008
2015-06-14,1260948
2015-06-15,1426112
2015-06-16,1433841
2015-06-17,1439595
2015-06-18,1395689
2015-06-19,1401042
2015-06-20,1302868
2015-06-21,1173592
2015-06-22,1416585
2015-06-23,1449970
2015-06-24,1447759
2015-06-25,1462285
2015-06-26,1445183
2015-06-27,1224869
2015-06-28,1204842
2015-06-29,1419158
2015-06-30,1440169
2015-07-01,1507968
2015-07-02,1517215
2015-07-03,1400292
2015-07-04,1226148
2015-07-05,1224289
2015-07-06,1406144
2015-07-07,1384086
2015-07-08,1419863
2015-07-09,1402695
2015-07-10,1386333
2015-07-11,1209086
2015-07-12,1202640
2015-07-13,1481372
2015-07-14,1499667
2015-07-15,1458976
2015-07-16,1439072
2015-07-17,1349576
2015-07-18,1161024
2015-07-19,1161887
2015-07-20,1427219
2015-07-21,1389150
2015-07-22,1444312
2015-07-23,1409419
2015-07-24,1466309
2015-07-25,1199991
2015-07-26,1232910
2015-07-27,1385543
2015-07-28,1394790
2015-07-29,1393083
2015-07-30,1386668
2015-07-31,1337739
2015-08-01,1192751
2015-08-02,1158094
2015-08-03,1333488
2015-08-04,1318977
2015-08-05,1395766
2015-08-06,1384608
2015-08-07,1382516
2015-08-08,1199459
2015-08-09,1178480
2015-08-10,1406039
2015-08-11,1444268
2015-08-12,1435676
2015-08-13,1483051
2015-08-14,1488320
2015-08-15,1228840
2015-08-16,1229440
2015-08-17,1413720
2015-08-18,1455427
2015-08-19,1461957
2015-08-20,1474162
2015-08-21,1423176
2015-08-22,1288454
2015-08-23,1209140
2015-08-24,1477276
2015-08-25,1448545
2015-08-26,1426479
2015-08-27,1403274
2015-08-28,1360901
2015-08-29,1233418
2015-08-30,1243921
2015-08-31,1321808
2015-09-01,1444596
2015-09-02,1466454
2015-09-03,1482540
2015-09-04,1453716
2015-09-05,1284097
2015-09-06,1228962
2015-09-07,1474203
2015-09-08,1531012
2015-09-09,1509229
2015-09-10,1439856
2015-09-11,1411649
2015-09-12,1263621
2015-09-13,1278050
2015-09-14,1508280
2015-09-15,1535028
2015-09-16,1564534
2015-09-17,1525994
2015-09-18,1517126
2015-09-19,1326833
2015-09-20,1306588
2015-09-21,1532114
2015-09-22,1541350
2015-09-23,1514547
2015-09-24,1461788
2015-09-25,1467545
2015-09-26,1337479
2015-09-27,1293329
2015-09-28,1485376
2015-09-29,1509555
2015-09-30,1501097
2015-10-01,1527034
2015-10-02,1504658
2015-10-03,1400769
